Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/1/24,cloudgaminghub.site,N/A,53,2,3.77%,0.04,0.72,76,81.58%
11/1/24,cloudgaminghub.site,Brazil,710,12,1.69%,1.56,2.20,"1,255",65.74%
11/1/24,cloudgaminghub.site,Canada,"6,980",187,2.68%,121.65,17.43,"12,768",78.08%
11/1/24,cloudgaminghub.site,China,4,0,0.00%,0.01,1.53,5,100.00%
11/1/24,cloudgaminghub.site,Czechia,3,0,0.00%,0.02,8.18,5,100.00%
11/1/24,cloudgaminghub.site,Finland,605,16,2.64%,17.05,28.19,847,84.65%
11/1/24,cloudgaminghub.site,France,"3,099",99,3.19%,37.29,12.03,"6,021",69.27%
11/1/24,cloudgaminghub.site,French Guiana,5,0,0.00%,0.01,2.02,7,100.00%
11/1/24,cloudgaminghub.site,Germany,"4,648",109,2.35%,127.78,27.49,"8,061",90.60%
11/1/24,cloudgaminghub.site,Greece,725,21,2.90%,3.98,5.49,"1,147",73.23%
11/1/24,cloudgaminghub.site,Guinea,2,0,0.00%,0.00,0.91,2,100.00%
11/1/24,cloudgaminghub.site,Iraq,9,1,11.11%,0.01,0.58,12,91.67%
11/1/24,cloudgaminghub.site,Italy,"3,684",88,2.39%,33.47,9.09,"5,186",86.68%
11/1/24,cloudgaminghub.site,Latvia,4,1,25.00%,0.03,7.42,5,100.00%
11/1/24,cloudgaminghub.site,Netherlands,"3,876",131,3.38%,78.34,20.21,"7,871",61.77%
11/1/24,cloudgaminghub.site,Singapore,"1,323",40,3.02%,10.85,8.20,"2,248",73.09%
11/1/24,cloudgaminghub.site,Switzerland,841,20,2.38%,33.40,39.72,"1,219",95.08%
11/1/24,cloudgaminghub.site,United Arab Emirates,19,1,5.26%,0.04,2.18,24,91.67%
11/1/24,cloudgaminghub.site,Ukraine,9,0,0.00%,0.01,0.65,12,83.33%
11/1/24,cloudgaminghub.site,United Kingdom,33,1,3.03%,0.80,24.38,41,92.68%
11/1/24,cloudgaminghub.site,United States,"3,108",72,2.32%,69.83,22.47,"4,347",87.62%
11/1/24,cloudgaminghub.site,Venezuela,15,2,13.33%,0.03,1.77,16,93.75%
11/1/24,funtimeh5.site,N/A,194,13,6.70%,0.17,0.88,234,96.58%
11/1/24,funtimeh5.site,Australia,3,0,0.00%,0.00,1.31,4,100.00%
11/1/24,funtimeh5.site,Brazil,532,17,3.20%,1.04,1.95,990,72.02%
11/1/24,funtimeh5.site,Canada,"1,603",52,3.24%,20.51,12.79,"2,373",85.63%
11/1/24,funtimeh5.site,Chile,670,11,1.64%,1.05,1.56,807,100.00%
11/1/24,funtimeh5.site,Estonia,3,0,0.00%,0.02,6.79,3,100.00%
11/1/24,funtimeh5.site,France,438,14,3.20%,3.90,8.90,533,82.18%
11/1/24,funtimeh5.site,Germany,"7,575",201,2.65%,106.15,14.01,"8,863",86.34%
11/1/24,funtimeh5.site,Greece,700,19,2.71%,2.76,3.94,791,89.51%
11/1/24,funtimeh5.site,India,6,0,0.00%,0.01,1.22,6,100.00%
11/1/24,funtimeh5.site,Iraq,7,1,14.29%,0.00,0.44,8,100.00%
11/1/24,funtimeh5.site,Italy,816,21,2.57%,6.56,8.04,833,98.68%
11/1/24,funtimeh5.site,Morocco,2,0,0.00%,0.00,0.55,4,100.00%
11/1/24,funtimeh5.site,Mozambique,3,0,0.00%,0.00,0.31,4,100.00%
11/1/24,funtimeh5.site,Netherlands,"5,575",167,3.00%,72.89,13.07,"6,937",81.00%
11/1/24,funtimeh5.site,Pakistan,90,2,2.22%,0.04,0.45,112,99.11%
11/1/24,funtimeh5.site,Qatar,3,0,0.00%,0.00,0.21,4,100.00%
11/1/24,funtimeh5.site,Romania,67,2,2.99%,0.52,7.70,67,100.00%
11/1/24,funtimeh5.site,Saint Kitts and Nevis,12,0,0.00%,0.01,0.85,12,100.00%
11/1/24,funtimeh5.site,Saudi Arabia,22,2,9.09%,0.02,0.97,26,100.00%
11/1/24,funtimeh5.site,Seychelles,7,0,0.00%,0.01,0.74,8,100.00%
11/1/24,funtimeh5.site,Singapore,706,18,2.55%,4.27,6.05,909,95.05%
11/1/24,funtimeh5.site,Spain,777,21,2.70%,4.13,5.31,791,100.00%
11/1/24,funtimeh5.site,Switzerland,"3,941",149,3.78%,90.41,22.94,"4,901",81.49%
11/1/24,funtimeh5.site,United Arab Emirates,6,1,16.67%,0.02,3.57,8,100.00%
11/1/24,funtimeh5.site,Turkmenistan,3,0,0.00%,0.00,0.26,4,100.00%
11/1/24,funtimeh5.site,Ukraine,6,0,0.00%,0.06,9.41,6,100.00%
11/1/24,funtimeh5.site,United Kingdom,"1,339",38,2.84%,10.94,8.17,"1,402",96.22%
11/1/24,funtimeh5.site,United States,"9,966",247,2.48%,197.88,19.86,"13,639",88.36%
11/1/24,funtimeh5.site,Yemen,3,0,0.00%,0.00,0.21,4,100.00%
11/1/24,skylandh5games.site,Australia,"5,213",148,2.84%,94.20,18.07,"7,543",77.97%
11/1/24,skylandh5games.site,Austria,"3,755",140,3.73%,84.02,22.37,"5,634",67.15%
11/1/24,skylandh5games.site,Brazil,615,22,3.58%,1.83,2.98,"1,272",55.82%
11/1/24,skylandh5games.site,Canada,"4,264",118,2.77%,70.11,16.44,"5,956",84.86%
11/1/24,skylandh5games.site,France,"2,946",122,4.14%,39.94,13.56,"4,371",67.42%
11/1/24,skylandh5games.site,Germany,"5,528",158,2.86%,111.68,20.20,"7,955",69.91%
